model,true_class,pred_class,formal,informal,CD
Claude Sonnet 4.6,antibias,antibias,0.5426,0.4392,-0.10339999999999999
Claude Sonnet 4.6,antibias,harmful,0.091,0.3228,0.23179999999999998
Claude Sonnet 4.6,antibias,harmless,0.3664,0.2381,-0.1283
Claude Sonnet 4.6,harmful,antibias,0.2221,0.0144,-0.2077
Claude Sonnet 4.6,harmful,harmful,0.4421,0.9262,0.48410000000000003
Claude Sonnet 4.6,harmful,harmless,0.3358,0.0594,-0.2764
Claude Sonnet 4.6,harmless,antibias,0.1809,0.0202,-0.1607
Claude Sonnet 4.6,harmless,harmful,0.0751,0.5034,0.42829999999999996
Claude Sonnet 4.6,harmless,harmless,0.744,0.4764,-0.2676
GPT-5.4,antibias,antibias,0.5384,0.4603,-0.0781
GPT-5.4,antibias,harmful,0.0783,0.2381,0.1598
GPT-5.4,antibias,harmless,0.3833,0.3016,-0.0817
GPT-5.4,harmful,antibias,0.2049,0.0101,-0.1948
GPT-5.4,harmful,harmful,0.3974,0.8867,0.48930000000000007
GPT-5.4,harmful,harmless,0.3977,0.1033,-0.2944
GPT-5.4,harmless,antibias,0.1782,0.0112,-0.167
GPT-5.4,harmless,harmful,0.038,0.3573,0.31930000000000003
GPT-5.4,harmless,harmless,0.7839,0.6315,-0.1524000000000001
Gemini 3.1 Pro Preview,antibias,antibias,0.5397,0.5233,-0.01639999999999997
Gemini 3.1 Pro Preview,antibias,harmful,0.0588,0.1919,0.1331
Gemini 3.1 Pro Preview,antibias,harmless,0.4015,0.2849,-0.11660000000000004
Gemini 3.1 Pro Preview,harmful,antibias,0.2127,0.0172,-0.1955
Gemini 3.1 Pro Preview,harmful,harmful,0.4009,0.8843,0.4834
Gemini 3.1 Pro Preview,harmful,harmless,0.3864,0.0985,-0.28790000000000004
Gemini 3.1 Pro Preview,harmless,antibias,0.1733,0.024,-0.14930000000000002
Gemini 3.1 Pro Preview,harmless,harmful,0.0306,0.3357,0.3051
Gemini 3.1 Pro Preview,harmless,harmless,0.7962,0.6403,-0.15590000000000004
Gemma 2 9B Instruct 4-bit,antibias,antibias,0.2927,0.2434,-0.04930000000000001
Gemma 2 9B Instruct 4-bit,antibias,harmful,0.1458,0.455,0.30920000000000003
Gemma 2 9B Instruct 4-bit,antibias,harmless,0.5615,0.3016,-0.2599
Gemma 2 9B Instruct 4-bit,harmful,antibias,0.1272,0.0032,-0.12400000000000001
Gemma 2 9B Instruct 4-bit,harmful,harmful,0.5227,0.9443,0.4216
Gemma 2 9B Instruct 4-bit,harmful,harmless,0.3502,0.0525,-0.2977
Gemma 2 9B Instruct 4-bit,harmless,antibias,0.0798,0.0045,-0.07529999999999999
Gemma 2 9B Instruct 4-bit,harmless,harmful,0.1204,0.6045,0.48410000000000003
Gemma 2 9B Instruct 4-bit,harmless,harmless,0.7998,0.391,-0.40879999999999994
Llama 3.1 70B-Inst 4-bit,antibias,antibias,0.4586,0.5638,0.10519999999999996
Llama 3.1 70B-Inst 4-bit,antibias,harmful,0.0831,0.1596,0.0765
Llama 3.1 70B-Inst 4-bit,antibias,harmless,0.4583,0.2766,-0.18169999999999997
Llama 3.1 70B-Inst 4-bit,harmful,antibias,0.189,0.0249,-0.1641
Llama 3.1 70B-Inst 4-bit,harmful,harmful,0.3587,0.8145,0.4558
