model,class,recall_ref,recall_cmp,RRS,abs_RRS
Claude Sonnet 4.6,antibias,0.4392,0.5426,-0.1035,0.1035
Claude Sonnet 4.6,harmful,0.9262,0.4421,0.484,0.484
Claude Sonnet 4.6,harmless,0.4764,0.744,-0.2675,0.2675
GPT-5.4,antibias,0.4603,0.5384,-0.0781,0.0781
GPT-5.4,harmful,0.8867,0.3974,0.4892,0.4892
GPT-5.4,harmless,0.6315,0.7839,-0.1524,0.1524
Gemini 3.1 Pro Preview,antibias,0.5233,0.5397,-0.0164,0.0164
Gemini 3.1 Pro Preview,harmful,0.8843,0.4009,0.4834,0.4834
Gemini 3.1 Pro Preview,harmless,0.6403,0.7962,-0.1559,0.1559
Gemma 2 9B Instruct 4-bit,antibias,0.2434,0.2927,-0.0493,0.0493
Gemma 2 9B Instruct 4-bit,harmful,0.9443,0.5227,0.4216,0.4216
Gemma 2 9B Instruct 4-bit,harmless,0.391,0.7998,-0.4088,0.4088
Llama 3.1 70B-Inst 4-bit,antibias,0.5638,0.4586,0.1052,0.1052
Llama 3.1 70B-Inst 4-bit,harmful,0.8145,0.3587,0.4558,0.4558
Llama 3.1 70B-Inst 4-bit,harmless,0.5651,0.8217,-0.2566,0.2566
Llama 3.1 8B-Inst,antibias,0.266,0.1415,0.1245,0.1245
Llama 3.1 8B-Inst,harmful,0.7389,0.2625,0.4764,0.4764
Llama 3.1 8B-Inst,harmless,0.5388,0.9403,-0.4015,0.4015
Mistral 7B v0.3 Instruct,antibias,0.1852,0.2317,-0.0465,0.0465
Mistral 7B v0.3 Instruct,harmful,0.6402,0.345,0.2952,0.2952
Mistral 7B v0.3 Instruct,harmless,0.5618,0.8342,-0.2724,0.2724
Qwen 2.5 72B Instruct 4-bit,antibias,0.3862,0.398,-0.0117,0.0117
Qwen 2.5 72B Instruct 4-bit,harmful,0.9379,0.4471,0.4908,0.4908
Qwen 2.5 72B Instruct 4-bit,harmless,0.3573,0.8131,-0.4558,0.4558
