formal_ratio,seed,kendall_tau,tau_p,top_model,n_sentences
0.0,0,1.0,0.0,GPT-5.4,2000
0.0,1,0.7143,0.0141,Claude Sonnet 4.6,2000
0.0,2,0.9286,0.0004,GPT-5.4,2000
0.0,3,0.8571,0.0017,Gemini 3.1 Pro Preview,2000
0.0,4,0.8571,0.0017,Gemini 3.1 Pro Preview,2000
0.1,0,0.7857,0.0055,Claude Sonnet 4.6,2000
0.1,1,0.7857,0.0055,Gemini 3.1 Pro Preview,2000
0.1,2,0.7857,0.0055,Gemini 3.1 Pro Preview,2000
0.1,3,0.7857,0.0055,Gemini 3.1 Pro Preview,2000
0.1,4,0.7143,0.0141,Gemini 3.1 Pro Preview,2000
0.2,0,1.0,0.0,GPT-5.4,2000
0.2,1,0.7857,0.0055,Claude Sonnet 4.6,2000
0.2,2,0.8571,0.0017,Gemini 3.1 Pro Preview,2000
0.2,3,0.7857,0.0055,Gemini 3.1 Pro Preview,2000
0.2,4,0.7143,0.0141,Claude Sonnet 4.6,2000
0.3,0,0.8571,0.0017,Gemini 3.1 Pro Preview,2000
0.3,1,0.7857,0.0055,Claude Sonnet 4.6,2000
0.3,2,0.8571,0.0017,GPT-5.4,2000
0.3,3,0.8571,0.0017,GPT-5.4,2000
0.3,4,0.7857,0.0055,Gemini 3.1 Pro Preview,2000
0.4,0,0.8571,0.0017,Gemini 3.1 Pro Preview,2000
0.4,1,0.7857,0.0055,Claude Sonnet 4.6,2000
0.4,2,0.8571,0.0017,GPT-5.4,2000
0.4,3,0.7857,0.0055,GPT-5.4,2000
0.4,4,0.9286,0.0004,GPT-5.4,2000
0.5,0,0.8365,0.0041,Gemini 3.1 Pro Preview,2000
0.5,1,0.7857,0.0055,Claude Sonnet 4.6,2000
0.5,2,0.8571,0.0017,GPT-5.4,2000
0.5,3,0.7143,0.0141,Claude Sonnet 4.6,2000
0.5,4,0.9286,0.0004,GPT-5.4,2000
0.6,0,0.8571,0.0017,Gemini 3.1 Pro Preview,2000
0.6,1,0.7143,0.0141,Claude Sonnet 4.6,2000
0.6,2,0.8571,0.0017,Gemini 3.1 Pro Preview,2000
0.6,3,0.7143,0.0141,Claude Sonnet 4.6,2000
0.6,4,0.9286,0.0004,GPT-5.4,2000
0.7,0,0.8571,0.0017,Gemini 3.1 Pro Preview,2000
0.7,1,0.6429,0.0312,Claude Sonnet 4.6,2000
0.7,2,0.7857,0.0055,GPT-5.4,2000
0.7,3,0.7857,0.0055,GPT-5.4,2000
0.7,4,0.8571,0.0017,GPT-5.4,2000
0.8,0,0.7143,0.0141,Gemini 3.1 Pro Preview,2000
0.8,1,0.7143,0.0141,Gemini 3.1 Pro Preview,2000
0.8,2,0.6429,0.0312,Gemini 3.1 Pro Preview,2000
0.8,3,0.7857,0.0055,GPT-5.4,2000
0.8,4,0.8571,0.0017,GPT-5.4,2000
0.9,0,0.7143,0.0141,Gemini 3.1 Pro Preview,2000
0.9,1,0.691,0.0178,Gemini 3.1 Pro Preview,2000
0.9,2,0.6429,0.0312,Gemini 3.1 Pro Preview,2000
0.9,3,0.7857,0.0055,GPT-5.4,2000
0.9,4,0.7143,0.0141,Gemini 3.1 Pro Preview,2000
1.0,0,0.6429,0.0312,Gemini 3.1 Pro Preview,2000
1.0,1,0.6429,0.0312,Gemini 3.1 Pro Preview,2000
1.0,2,0.6429,0.0312,Gemini 3.1 Pro Preview,2000
1.0,3,0.7857,0.0055,GPT-5.4,2000
1.0,4,0.7143,0.0141,Gemini 3.1 Pro Preview,2000
